,Transported
840,False
3739,False
1577,False
5710,False
3671,False
2112,False
6908,False
4652,True
821,False
5617,False
2269,False
3743,False
601,True
4129,False
2619,True
6610,False
4380,False
5384,True
3343,True
7902,False
1353,True
4218,True
8288,True
2198,True
7129,True
5134,False
2650,False
7823,False
8228,True
2108,True
8240,True
5789,True
6138,False
2494,False
6091,True
2334,False
971,False
7587,True
1085,False
7247,False
2440,False
8663,True
6761,False
2527,True
4483,True
7832,False
6269,False
6303,True
4908,True
1602,True
8290,False
5322,False
422,False
1395,False
2775,False
2083,True
8201,True
3570,True
260,True
1534,False
2573,False
2713,True
6934,False
6845,False
4767,True
3042,True
6887,False
667,True
2920,False
3075,True
7521,True
2558,False
5732,True
7844,True
2835,False
4892,False
7534,False
3655,False
1621,False
8624,True
8447,False
2705,True
6852,False
4616,True
2075,True
8109,True
849,True
289,False
4410,True
7457,False
5966,False
3121,True
815,False
8625,True
7734,True
3476,True
3823,True
2636,True
7116,False
3468,False
1234,False
2791,False
2109,False
2562,True
1957,False
5856,False
3556,False
2934,True
1531,True
6541,False
5968,True
159,False
498,True
6469,False
3028,True
7233,True
4818,True
6844,False
1271,False
3428,True
1783,True
6680,False
2412,False
4987,True
2890,True
1717,True
5694,False
8482,False
4284,False
3008,False
5914,False
7168,True
7671,False
7454,True
2900,False
6324,False
5641,True
4184,False
1924,True
8026,False
3027,True
4711,False
5131,False
7632,False
2310,False
3111,True
5021,False
2328,True
6069,True
1613,False
7358,False
6147,True
1093,True
6041,True
2060,False
659,False
8074,False
5962,True
6529,False
4939,False
1932,True
4164,True
5371,True
281,True
8563,False
2094,True
3979,True
3940,True
3763,False
7018,True
6631,True
7986,False
6300,True
7382,False
4125,True
6408,True
7817,True
1683,False
5910,True
1415,False
2655,True
5077,True
69,False
7561,True
5416,True
5126,False
2175,True
6641,False
4518,True
7182,True
8059,False
2553,False
4728,True
3953,True
5442,True
7397,True
5637,True
683,False
6140,False
3267,True
4496,False
7345,False
6153,True
583,False
5257,True
1541,True
4870,True
2630,True
7749,True
2514,True
5149,True
469,False
7856,False
1674,True
8044,True
8346,True
4843,True
5276,False
7665,False
2040,False
3230,False
2559,False
2698,True
7423,False
8073,False
6636,False
5946,False
5811,True
4172,True
7909,True
4715,True
4252,True
6668,True
1740,True
1061,True
5185,False
3837,False
7644,True
407,False
668,True
2620,False
7549,True
4610,True
4160,False
3485,True
5220,True
7520,True
8402,False
8388,False
1544,False
5219,False
8641,True
4845,False
6732,False
1702,False
288,True
2262,True
7214,False
2093,True
7683,True
504,True
1982,True
7620,True
2483,True
7719,False
2703,False
3929,True
6427,True
3786,True
7094,False
8303,True
5895,True
6352,True
1317,True
3598,True
531,True
4746,True
7956,False
3729,True
3816,False
6927,False
3513,True
2503,True
1041,False
5457,False
425,False
137,True
1663,False
711,True
7769,True
1138,False
3956,False
1373,False
7977,False
1472,False
1493,False
534,True
5561,False
4683,False
2908,True
5916,True
5933,True
5868,False
7667,False
8083,False
1350,True
6424,False
3622,True
8454,False
6884,True
6260,False
2506,False
7305,True
6177,True
9,True
2507,False
2749,True
6723,False
6543,True
1571,True
3629,False
3524,False
5508,False
8121,False
1623,False
4048,True
3892,False
537,True
4249,False
5267,True
163,True
5901,True
1443,True
5809,False
4860,False
7657,False
7506,False
412,True
6341,True
7876,True
2045,False
459,False
4725,False
5841,True
1165,True
5116,True
5332,True
3396,False
122,True
6509,False
2866,True
8069,False
3172,False
8328,True
5114,True
4295,False
8655,False
1433,True
2140,False
6421,True
7054,True
2808,True
3590,False
1891,False
4869,True
7303,False
2858,True
3365,True
4829,True
3076,True
4212,True
8129,False
5203,True
1734,False
8112,False
6563,True
629,True
8452,False
1832,True
335,False
1127,True
4454,True
3264,False
5548,False
5161,True
6989,False
6189,False
6372,True
4751,True
947,True
2662,False
7223,True
1426,True
2234,False
7346,True
4764,False
5562,True
7779,True
8308,True
3827,False
5644,False
806,False
1253,False
6712,False
123,True
120,False
4499,False
940,False
1052,True
2547,True
5535,True
8136,True
7582,False
6327,True
3453,False
8172,False
3980,True
8030,True
1417,False
68,False
2394,True
7568,False
6195,False
1649,False
8208,True
5661,True
4401,True
8613,False
6043,False
5002,False
5680,True
4021,True
742,False
3985,True
5462,True
4637,True
183,False
3804,True
4952,False
5788,True
1023,False
768,True
6022,True
6752,False
4220,False
5733,True
7609,False
6751,True
6092,True
4481,True
114,True
6202,True
2661,True
6155,True
3749,True
4050,False
4091,True
37,False
1689,False
8519,False
945,True
4667,True
5698,True
4974,False
8162,True
5510,True
6986,False
2439,True
3600,True
5356,False
8011,True
1021,True
3044,False
2715,False
7535,True
3564,False
4201,False
7024,True
4805,True
7893,True
8551,True
7444,False
576,True
2955,False
8443,False
1247,False
7216,False
2637,True
4580,False
3493,False
1160,True
2707,True
7452,False
360,True
6052,True
6897,True
4327,False
318,True
5726,True
3161,False
6109,False
379,False
2101,False
6473,True
3083,True
1782,False
4119,True
6467,False
4450,True
5520,True
4187,True
3855,True
7354,False
7238,False
2758,False
