,Transported
5444,True
4592,False
4563,False
5549,True
2271,True
2315,False
175,True
2557,False
8301,True
4093,False
8398,False
7128,True
1847,True
2543,True
2561,True
4525,False
7217,True
8350,True
5602,False
633,False
5717,False
8197,True
1578,False
511,True
5471,True
8614,False
1260,False
4989,True
4428,True
8339,True
3139,True
7894,False
4436,False
1081,False
6872,True
8219,False
6708,True
4506,False
1564,False
6309,True
3928,True
2578,True
4133,True
2757,False
6512,True
7392,True
8581,False
5645,False
6590,False
4381,True
919,False
6800,True
3644,False
8515,False
6979,True
6206,False
5611,True
2015,False
4435,False
3007,False
7240,True
1596,True
6418,True
6188,True
5858,False
2904,False
8096,True
1763,False
6296,True
4604,False
7252,False
72,True
4364,True
2754,False
7802,False
5004,True
4132,True
3360,True
8386,True
582,False
2889,True
8487,False
2238,False
4669,False
1392,False
2867,True
1997,False
6993,True
5504,False
336,False
2471,False
5660,True
1861,False
2430,True
805,True
6020,True
5650,True
212,True
3024,True
8296,True
3720,True
7313,True
1248,False
4900,True
2697,False
6197,False
6134,True
698,True
1780,True
2624,True
1739,True
3081,True
8090,False
2114,False
783,True
4599,True
3506,True
4256,True
2716,False
493,True
5178,False
3883,False
5530,True
4823,True
6594,False
1630,True
1873,False
8179,True
4071,True
4917,False
6335,True
2102,True
8490,False
262,False
8566,True
7628,False
5464,True
3674,False
2541,False
5498,False
1184,True
5884,True
1175,True
642,False
7879,False
5143,False
7881,False
5839,False
7021,True
4638,True
59,True
6093,False
7813,False
2666,True
1845,False
6895,False
7156,True
3963,False
7171,True
7373,False
4848,True
3907,True
1278,True
3207,True
2805,False
1020,False
7757,True
3602,True
2945,False
547,False
7596,False
8628,True
952,False
782,False
1737,False
8147,False
2792,False
7164,True
505,False
1618,False
1465,True
2386,False
956,True
3665,True
8128,True
7258,True
4134,False
4321,False
887,False
8279,True
1086,True
2627,False
2057,False
3960,False
5390,False
6055,True
2294,False
3972,True
7699,True
5683,True
54,True
7361,True
8367,False
3400,True
160,True
4831,False
5005,False
807,True
4087,True
7559,True
7720,False
1838,False
8450,True
1867,True
864,False
4468,False
4632,False
2189,False
4092,True
2817,False
4753,True
8557,False
3124,True
4574,True
5638,True
2299,True
1012,False
3521,True
800,False
519,False
491,False
1612,True
5496,True
6448,True
356,True
4012,False
3673,False
1806,False
1909,True
6644,True
3113,False
7023,True
3355,False
3552,False
3092,False
6839,False
7499,True
4747,False
1731,True
5428,False
6939,True
1421,True
2239,False
1034,True
4503,True
2200,False
406,False
2711,False
7063,False
3238,False
2229,True
1960,False
8009,True
7259,True
4480,True
1116,True
5175,False
6461,True
847,False
3996,False
131,False
